name,industry,sector,website
Orbital ATK,Aerospace and Defense,Aerospace & Defense,http://www.orbitalatk.com
Frontier Communications,Telecommunications,Telecommunications,http://www.frontier.com
Levi Strauss,Apparel,Apparel,http://www.levistrauss.com
SPX,Industrial Machinery,Industrials,http://www.spx.com
CF Industries Holdings,Chemicals,Chemicals,http://www.cfindustries.com
Michaels Cos.,Specialty Retailers: Other,Retailing,http://www.michaels.com
M&T Bank Corp.,Commercial Banks,Financials,http://www.mtb.com
Rush Enterprises,"Automotive Retailing, Services",Retailing,http://www.rushenterprises.com
Aleris,Metals,Materials,http://www.aleris.com
Nexeo Solutions Holdings,Wholesalers: Diversified,Wholesalers,http://www.nexeosolutions.com
Keurig Green Mountain,Beverages,"Food, Beverages & Tobacco",http://www.keurig.com
Superior Energy Services,"Oil and Gas Equipment, Services",Energy,http://www.superiorenergy.com
Williams-Sonoma,Specialty Retailers: Other,Retailing,http://www.williams-sonomainc.com
Robert Half International,Temporary Help,Business Services,http://www.roberthalf.com
Nvidia,Semiconductors and Other Electronic Components,Technology,http://www.nvidia.com
First American Financial,Insurance: Property and Casualty (Stock),Financials,http://www.firstam.com
Zimmer Biomet Holdings,Medical Products and Equipment,Health Care,www.zimmerbiomet.com
MDU Resources Group,Energy,Energy,http://www.mdu.com
Juniper Networks,Network and Other Communications Equipment,Technology,http://www.juniper.net
Arthur J. Gallagher,Diversified Financials,Financials,http://www.ajg.com
Colfax,Industrial Machinery,Industrials,http://www.colfaxcorp.com
Cliffs Natural Resources,"Mining, Crude-Oil Production",Energy,http://www.cliffsnaturalresources.com
Yahoo,Internet Services and Retailing,Technology,http://www.yahoo.com
MasTec,"Engineering, Construction",Engineering & Construction,http://www.mastec.com
Lam Research,Semiconductors and Other Electronic Components,Technology,http://www.lamresearch.com
Axiall,Chemicals,Chemicals,http://www.axiall.com
Intercontinental Exchange,Securities,Financials,http://www.theice.com
Cintas,Diversified Outsourcing Services,Business Services,http://www.cintas.com
